sim,Rate,Rate_1,Rate_2,density,recip,jumpXTransTrip,se_density,se_recip,se_jumpXTransTrip,maxConv
368,2.42459831751952,2.45649695713186,2.21033701570233,-4.90801577654493,4.89409339164942,3.25131452008877,0.192520148020752,0.259831686125868,1.04101042270079,0.197890896614788
369,2.43671978133038,2.46500886855058,2.21823681089791,-4.9173523418432,4.90254659473058,3.34934068233302,0.17933223803392,0.23978482093505,0.930858604152056,0.126190554171005
370,2.44271523372049,2.45116792068787,2.21275178422011,-4.92197730399356,4.9069712324090196,3.35442896115978,0.180776654110135,0.24068548540584,0.915848860817492,0.0524900846719122
371,2.43723837020749,2.45615291508901,2.22265793150372,-4.92894786071027,4.91583448263954,3.34849893787112,0.169573402909792,0.222452599457385,0.931551420144763,0.0673260840902128
372,2.43824288281479,2.46695952361971,2.20911858936981,-4.91712515043016,4.89567878860753,3.32560367327866,0.198709828979746,0.256479939371753,0.900512759087893,0.0728429405624783
373,2.4492708889146,2.45744192264601,2.20024462976372,-4.91733244870478,4.89605138969636,3.35055632135169,0.187906308819693,0.247440397981857,0.862966300466325,0.0812827516922554
374,2.44330614453147,2.4737564353177,2.21876046060313,-4.93116203258177,4.91038131100702,3.32039273559202,0.187058521557978,0.254767430230423,0.98094168788517,0.0824460409079664
375,2.43156550330419,2.48940832236899,2.19831489012919,-4.9109892122302,4.89471418920579,3.35305488521659,0.178599255313028,0.250227512237763,0.96534711368323,0.0555703598585328
376,2.43315704632292,2.47657158771611,2.21225100644603,-4.92603089492835,4.90645705855674,3.36480883715718,0.175552456372207,0.236815834909619,0.890300194812513,0.0616818243430397
377,2.45799214430571,2.45624437261236,2.2219204011666,-4.90625663076085,4.87872115025278,3.33520117015589,0.181403445540161,0.242148634475136,0.929568471400229,0.0870430835891928
378,2.4166233752116,2.46478599760353,2.18279990330691,-4.89990562436897,4.8783141787501,3.31310104492184,0.186197516858407,0.248107172443231,0.922558078012528,0.0797351584257918
379,2.43239615373384,2.43842680257693,2.21588752793145,-4.91109462924712,4.88765274772174,3.32795962452025,0.181762891372378,0.236043838582214,0.875616911428454,0.0541905434025665
380,2.44792270008365,2.46294078063637,2.21151096523629,-4.91897241419008,4.89411324842336,3.29985062411279,0.173767807377379,0.232095566490258,0.946360247370146,0.044376893615337
381,2.44854011225654,2.47403085129303,2.2204179324674,-4.91846199665766,4.90130567484496,3.33000547995858,0.169940454225262,0.231317296777691,0.899281195928148,0.0586504175790297
382,2.43760812062588,2.44207479680332,2.21197036798049,-4.91025917612731,4.89086074565104,3.33490299706656,0.180502318186681,0.232242637615632,0.909972166004555,0.142312731571256
383,2.45477400295687,2.46287095896052,2.22128345539595,-4.93384904468197,4.92134128824502,3.28357603659137,0.190127556890121,0.270167731485643,0.998743981348033,0.144263236168258
384,2.42741934591002,2.46021702862158,2.22387555411408,-4.93042345528805,4.90898617912631,3.37106425184367,0.170131737644676,0.231846363767521,0.926754390811565,0.0902830674296345
