sim,Rate,Rate_1,Rate_2,density,recip,simXTransTrip,se_density,se_recip,se_simXTransTrip,maxConv
58,2.43690656123985,2.46019974699529,2.21390841593443,-4.90664474901455,4.87564106498315,9.71860508994372,0.182671357059748,0.244340970025266,4.05221628880533,0.148678025771912
59,2.44625235998756,2.44605369859839,2.20138237604557,-4.9241637415555,4.90309234412321,10.0485427598819,0.19262373230069,0.25125026435084,3.99404916557619,0.0878535845283079
60,2.46261952309425,2.4719798645942,2.20229367476572,-4.91735216015921,4.89180188684548,9.99837739075217,0.187610634130591,0.251560318603924,4.01466136032479,0.0361336045945004
61,2.44788722782469,2.46332310513815,2.19209347866122,-4.91036225970793,4.87758282415175,10.0992815667259,0.184569679573168,0.249325788726667,3.73608259671918,0.102842471830157
62,2.44261647842994,2.45217273212774,2.17862222587417,-4.91168066775215,4.88743039716286,10.0823872283025,0.18314305375296,0.239637027140087,3.49079969378157,0.061079894866385
63,2.43298533640536,2.44635729681929,2.21765892631729,-4.90495652316666,4.87267735687191,10.3418403115632,0.171819514748648,0.229777847281241,3.52150414320978,0.144173144558841
64,2.44900523792348,2.45391739464714,2.20094584078792,-4.9159580461334,4.88612431620602,10.1877016923901,0.186262172780144,0.257384550204179,3.56017268986122,0.0872353130378092
65,2.44718394560472,2.45401208795018,2.18926386458754,-4.8985483596395,4.86500002717093,9.99750115962916,0.166053552700381,0.230619428900449,3.46799797355806,0.125399161880919
66,2.4783804211905,2.46887436436358,2.20982277808565,-4.92545451674252,4.90322654549901,9.88745294558256,0.169898443934711,0.224572839955572,4.10892999681979,0.101292082673885
67,2.44755443609489,2.4417643126893,2.19529891225524,-4.92364677295922,4.89448670323971,10.1834105889216,0.17865782269993,0.240519706185005,3.65052197590118,0.0941975432524659
68,2.45811196620241,2.45329702862154,2.21228118904149,-4.9204747872312,4.90362714398023,10.0546724574617,0.185008743790146,0.255796873500689,4.01035286994671,0.0920160300391997
69,2.44649576288897,2.4542583579954,2.21998064075227,-4.91432795941604,4.88788108898653,10.0543236202403,0.181037607141883,0.247304072991834,4.15196229030218,0.0753464674839335
70,2.43676366746959,2.46338535191097,2.19829411685732,-4.91304443608971,4.88496791968001,10.2876902167051,0.176580411029519,0.239184856802112,3.7764645924130402,0.0558232179831171
71,2.42091919626204,2.47322893347481,2.20423597589875,-4.91053574335117,4.88035040686328,9.96044162800514,0.191822519568087,0.248786036281933,3.81207797101303,0.0907541972121101
72,2.45256369642662,2.48670336044648,2.21782061369544,-4.93299902612599,4.90782646741785,10.1965989053675,0.184810891541128,0.25173063919996,3.95367206906265,0.158881548130967
73,2.42800538860968,2.44112728775381,2.20750988932428,-4.90430051334022,4.86985670966347,10.4000494630182,0.196108872127354,0.253178761269088,3.40267069771684,0.105249578802861
74,2.43635811172479,2.48140067095241,2.20240026004712,-4.91483046177248,4.88530885669718,10.0271773154005,0.177416397357463,0.23575741126274,4.05643569588442,0.0500914665859731
75,2.43604661444093,2.45551373692981,2.20551693718397,-4.92831863985589,4.90674912837747,9.97458656349902,0.199263906879734,0.262810253070857,4.01741686760359,0.0532119708852025
76,2.4338630757675,2.46642363404346,2.22550636123955,-4.91501482836402,4.89283979802468,10.1483800173075,0.172784677374564,0.227936508199861,3.38690468868033,0.0455805888133067
77,2.44240926912101,2.44709240445335,2.18590621668737,-4.90455432642827,4.87273316424127,9.99934225093067,0.185294636783276,0.245847664601899,3.79848536007332,0.119788993180709
78,2.43365526993518,2.45438051354271,2.21887779719941,-4.90917507933799,4.87551161459247,10.4608401283532,0.174692935933142,0.238745176974616,3.72975124252856,0.135035321373046
79,2.42744134684146,2.46428052354157,2.20412048897335,-4.91322919614762,4.88138291219083,10.2633561591825,0.178881047187452,0.234762637794519,3.38551880872278,0.0596194398398211
80,2.4545773199588,2.46701185597357,2.21931374657616,-4.92465485398811,4.91081680403728,9.74337614751921,0.171591032641902,0.232165937438569,3.78727423030701,0.14183344599111
81,2.44005910511351,2.48417670492339,2.20415067519895,-4.91425657277668,4.88609741127543,10.1925242555703,0.172550501451198,0.226694177190901,3.7345565232158,0.0751707042937221
