ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description,weight,response,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model,datapick,size,sign,initialEst
,A27HVVLSZZ13XK,1508521248.301499,1508521275.7344925,9973,6,Certain,Most complicated overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A2LU259QPV1I4V,1508521276.9598567,1508521307.2155545,9973,3,Very Certain,Most simple overall structure,turk22,1,3,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,FALSE,1,0,1
,A1036BH0RBAF1O,1508521560.4545205,1508521567.0641475,9943,6,Certain,Most complicated overall structure,turk22,1,6,NA,jtts,1,NA,6,file23c900d7fb.svg,turk22,9,jtts_gof_9_3.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,AKZ8SFOAI4RZN,1508521708.8258488,1508521721.2641082,9933,1,Very Certain,Most complicated overall structure,turk22,1,1,NA,jttp,1,NA,1,file23c336a4b8d.svg,turk22,9,jttp_gof_9_3.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A2LU259QPV1I4V,1508521861.282434,1508521877.8741174,9941,3,Very Certain,Most complicated overall structure,turk22,1,3,NA,jtts,1,NA,3,file23c5f40e48f.svg,turk22,9,jtts_gof_9_1.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A34DWBBWZRLO1X,1508522152.8872952,1508522163.727674,9973,6,Certain,Most complicated overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,AA9V4NE8SOA4I,1508522163.45378,1508522172.7657828,9951,2,Certain,Most simple overall structure,turk22,1,2,NA,simttb,1,NA,2,file23c5766b3e7.svg,turk22,9,simttb_gof_9_1.csv,0,M-1,data,TRUE,10.090829369002902,0,10.090829369002902
,A194E79BDFEZIU,1508522197.0072134,1508522218.4157941,9973,6,Very Certain,Most simple overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,AIC05ZT6F4AGF,1508522246.469174,1508522267.8635802,9973,3,Very Certain,Most simple overall structure,turk22,1,3,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,FALSE,1,0,1
,A149ROBL26JWPJ,1508522331.102223,1508522343.3600523,9942,4,Neutral,Most simple overall structure,turk22,1,4,NA,jtts,1,NA,2,file23c562755d7.svg,turk22,9,jtts_gof_9_2.csv,0,M-1,data,FALSE,3.340301961018899,0,3.340301961018899
,A22LZ62E0UC4VL,1508522737.822947,1508522743.614046,9943,6,Neutral,Most complicated overall structure,turk22,1,6,NA,jtts,1,NA,6,file23c900d7fb.svg,turk22,9,jtts_gof_9_3.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,campaign_2165,1508522744.774191,1508522753.8671176,9973,6,Very Certain,Most simple overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A3I25WYU4QVB3V,1508522780.4243524,1508522797.2518444,9973,"6,4",Very Uncertain,Most complicated overall structure,turk22,0.5,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A3I25WYU4QVB3V,1508522780.4243524,1508522797.2518444,9973,"6,4",Very Uncertain,Most complicated overall structure,turk22,0.5,4,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,FALSE,1,0,1
,A22JBMOHQKHTSS,1508522842.2043278,1508522851.2726486,9973,2,Certain,Most complicated overall structure,turk22,1,2,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,FALSE,1,0,1
,A14PFRHG0A2YY9,1508522947.2806292,1508522970.8192213,9942,2,Certain,Most simple overall structure,turk22,1,2,NA,jtts,1,NA,2,file23c562755d7.svg,turk22,9,jtts_gof_9_2.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
, A1BQCRF5Q76YFY,1508523103.4286947,1508523120.2428572,9973,2,Certain,Most simple overall structure,turk22,1,2,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,FALSE,1,0,1
,A1A3TGZ7DKJWRW,1508523127.3464906,1508523132.5668657,9973,6,Certain,Most complicated overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A5TI9UQEPLNWI,1508523495.2471156,1508523504.8486032,9952,3,Certain,Most complicated overall structure,turk22,1,3,NA,simttb,1,NA,3,file23c57b180f3.svg,turk22,9,simttb_gof_9_2.csv,0,M-1,data,TRUE,10.090829369002902,0,10.090829369002902
,A1TFWB4P6PXA3M,1508523502.8186955,1508523526.4146948,9932,4,Very Certain,"Other, A quarter of the plot is empty.",turk22,1,4,NA,jttp,1,NA,4,file23c10682062.svg,turk22,9,jttp_gof_9_2.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A681XM15AN28F,1508523564.2144608,1508523580.9757853,9942,2,Uncertain,Most complicated overall structure,turk22,1,2,NA,jtts,1,NA,2,file23c562755d7.svg,turk22,9,jtts_gof_9_2.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A39YBLQYIUBR76,1508524022.658728,1508524029.6346846,9932,4,Neutral,Most simple overall structure,turk22,1,4,NA,jttp,1,NA,4,file23c10682062.svg,turk22,9,jttp_gof_9_2.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
, AE03LUY7RH400,1508524058.5181048,1508524079.03083,9973,6,Uncertain,Most complicated overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A1AXD2Q0MREL8W,1508524039.9409955,1508524089.2376091,9973,6,Certain,"Other, different structure",turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A1S88VQY8G8CNC,1508524146.021794,1508524173.116495,9973,3,Uncertain,Most simple overall structure,turk22,1,3,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,FALSE,1,0,1
,A38DC3BG1ZCVZ2,1508524538.577967,1508524549.4528844,9931,2,Very Certain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
, AE03LUY7RH400,1508524557.4477885,1508524567.7845678,9973,6,Certain,Most simple overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A1AXD2Q0MREL8W,1508524592.2749307,1508524607.9358678,9931,2,Very Certain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A38IB23GPSEKY1,1508524814.7264235,1508524831.551178,9933,1,Certain,Most complicated overall structure,turk22,1,1,NA,jttp,1,NA,1,file23c336a4b8d.svg,turk22,9,jttp_gof_9_3.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A32QJF67JMJFKX,1508524892.331089,1508524902.3497314,9943,6,Certain,Most complicated overall structure,turk22,1,6,NA,jtts,1,NA,6,file23c900d7fb.svg,turk22,9,jtts_gof_9_3.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A3D1VTLX623K6I,1508524989.6406577,1508525005.9962935,9972,3,Certain,Most simple overall structure,turk22,1,3,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,FALSE,1,0,1
,A3D1VTLX623K6I,1508525298.5063612,1508525308.9655952,9972,4,Certain,Most complicated overall structure,turk22,1,4,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,TRUE,1,0,1
,A1DVKS3R9SLQ1H,1508525480.036003,1508525496.9797575,9972,4,Very Certain,Most complicated overall structure,turk22,1,4,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,TRUE,1,0,1
,AOXM7IK32TST5,1508525753.8605983,1508525761.343087,9952,3,Certain,Most complicated overall structure,turk22,1,3,NA,simttb,1,NA,3,file23c57b180f3.svg,turk22,9,simttb_gof_9_2.csv,0,M-1,data,TRUE,10.090829369002902,0,10.090829369002902
